customer_id,plan_type,monthly_fee,tenure_months,avg_weekly_usage_hours,last_login_days,support_tickets,payment_failures,discount_used,churn_flag
1,Basic,253,18,6.3,11,1,0,No,0
2,Premium,794,26,4.7,48,2,1,No,0
3,Standard,434,25,5.8,12,0,0,Yes,0
4,Standard,435,14,6.1,40,1,0,No,1
5,Basic,212,5,8.3,32,0,0,Yes,0
6,Basic,225,2,8.8,46,2,0,Yes,0
7,Basic,281,4,4.8,18,2,1,No,1
8,Premium,857,12,5.5,40,1,1,Yes,1
9,Standard,471,11,7.6,16,0,1,No,1
10,Standard,479,4,5.6,46,1,1,Yes,0
11,Basic,281,9,7.4,33,0,0,No,0
12,Premium,742,10,7.8,3,1,1,Yes,1
13,Premium,766,27,8.0,38,1,0,No,0
14,Basic,246,6,6.2,7,0,0,No,0
15,Basic,255,15,3.7,32,2,1,No,0
16,Basic,273,31,5.7,0,2,0,No,0
17,Basic,220,22,5.0,4,2,0,No,0
18,Standard,402,6,7.6,31,0,2,No,1
19,Basic,279,33,9.1,39,2,1,Yes,1
20,Basic,270,29,9.1,0,1,0,Yes,0
21,Standard,444,21,7.8,34,1,0,No,1
22,Basic,257,30,4.1,21,1,2,No,1
23,Basic,232,21,8.8,28,4,0,No,0
24,Basic,209,22,6.9,16,1,2,No,1
25,Standard,429,20,4.4,29,2,0,Yes,0
26,Standard,409,22,7.7,34,0,0,No,0
27,Basic,254,11,5.6,59,2,0,No,1
28,Standard,436,31,2.1,0,2,1,No,1
29,Standard,419,13,4.0,3,0,3,No,0
30,Basic,292,18,5.9,8,1,1,No,0
31,Standard,408,22,5.8,44,1,0,Yes,0
32,Basic,224,17,3.9,31,1,0,No,1
33,Basic,289,25,7.5,4,0,0,Yes,0
34,Premium,834,32,7.0,13,0,0,Yes,0
35,Premium,706,15,3.1,50,1,1,Yes,1
36,Premium,886,13,11.3,25,0,0,No,0
37,Basic,270,26,3.6,22,1,0,No,0
38,Basic,232,11,5.1,45,0,2,No,1
39,Standard,414,13,6.8,21,3,0,No,0
40,Basic,211,33,5.1,26,1,0,No,1
41,Basic,285,1,8.9,24,1,0,Yes,0
42,Standard,474,27,5.6,35,1,1,No,0
43,Basic,289,32,4.2,3,3,0,Yes,1
44,Premium,848,15,7.2,31,0,0,Yes,0
45,Basic,294,31,0.5,8,0,1,Yes,0
46,Standard,425,6,7.1,1,0,0,No,0
47,Basic,262,25,8.6,41,1,0,Yes,0
48,Standard,400,18,1.4,49,1,0,Yes,0
49,Standard,495,22,5.2,56,0,1,Yes,1
50,Basic,224,31,2.7,38,2,0,No,0
51,Premium,781,9,6.0,52,1,2,No,0
52,Standard,467,3,10.5,45,2,0,Yes,1
53,Premium,795,33,6.5,52,0,1,Yes,0
54,Premium,728,27,5.6,24,1,1,No,0
55,Standard,406,1,0.5,46,2,0,No,0
56,Premium,736,9,3.8,9,0,1,No,1
57,Basic,259,5,5.7,36,2,0,No,0
58,Basic,279,15,6.2,24,2,1,No,0
59,Basic,263,9,6.7,39,2,1,No,0
60,Basic,265,28,7.5,53,2,0,Yes,0
61,Basic,244,13,4.2,52,0,0,No,0
62,Basic,288,24,6.1,28,1,0,Yes,0
63,Premium,793,10,5.0,36,3,1,No,1
64,Basic,270,22,4.1,4,0,0,No,0
65,Basic,241,22,4.3,13,1,0,Yes,0
66,Standard,457,20,7.1,32,3,1,Yes,1
67,Basic,244,10,0.9,26,1,1,No,0
68,Premium,898,10,2.3,4,0,0,No,0
69,Basic,233,26,12.3,50,1,0,No,0
70,Premium,737,25,4.7,53,1,1,No,0
71,Standard,490,28,8.9,56,2,0,No,0
72,Basic,249,13,5.9,43,2,0,No,0
73,Basic,202,15,4.9,14,1,1,Yes,1
74,Premium,819,6,7.3,2,3,0,Yes,0
75,Standard,478,12,6.2,0,1,0,No,0
76,Standard,475,19,5.6,23,2,0,No,1
77,Standard,482,32,5.9,11,1,0,No,0
78,Basic,249,11,6.8,44,2,0,Yes,0
79,Basic,203,33,4.6,13,1,1,Yes,0
80,Basic,253,2,5.0,56,0,2,No,0
81,Premium,718,15,4.0,41,1,0,No,0
82,Standard,422,5,3.6,19,2,0,No,0
83,Basic,234,15,9.7,57,2,0,Yes,0
84,Basic,232,10,4.2,13,2,1,No,1
85,Basic,252,17,8.0,13,3,0,Yes,0
86,Basic,232,34,5.3,44,2,0,No,1
87,Standard,481,24,7.1,52,0,0,No,1
88,Standard,415,10,6.0,34,1,0,No,0
89,Premium,831,30,2.4,55,2,0,No,0
90,Standard,487,3,6.1,18,0,0,No,0
91,Basic,216,3,7.2,19,0,0,No,0
92,Standard,453,5,4.1,41,1,0,No,1
93,Standard,451,28,10.6,43,1,1,Yes,0
94,Standard,448,14,7.6,22,1,1,No,1
95,Standard,470,11,7.6,33,0,1,No,0
96,Standard,489,8,7.9,0,0,3,No,1
97,Standard,477,8,1.3,3,2,1,No,1
98,Basic,243,12,7.4,39,1,1,No,1
99,Basic,211,15,10.6,16,1,0,No,0
100,Basic,214,19,7.5,25,1,0,Yes,0
101,Basic,284,28,5.5,13,1,1,Yes,0
102,Standard,482,7,3.8,45,1,0,No,0
103,Basic,211,7,3.6,50,1,0,No,1
104,Standard,418,30,3.3,31,0,1,Yes,0
105,Premium,764,18,5.2,35,1,1,No,0
106,Basic,297,24,3.9,19,2,0,No,0
107,Basic,245,6,5.7,15,1,0,No,0
108,Standard,417,4,6.4,50,1,0,No,0
109,Basic,243,3,2.6,18,0,0,Yes,0
110,Basic,235,6,4.5,44,0,0,No,0
111,Basic,252,26,4.8,38,5,1,No,1
112,Basic,204,11,4.8,23,2,0,Yes,1
113,Premium,712,29,6.0,13,2,1,No,0
114,Premium,830,20,6.2,28,0,0,No,0
115,Standard,484,10,5.2,41,1,0,No,0
116,Premium,881,26,4.7,13,0,0,Yes,0
117,Premium,860,27,6.0,51,3,0,No,1
118,Basic,225,14,8.9,10,1,0,No,0
119,Premium,705,12,3.1,10,0,0,Yes,0
120,Standard,401,23,8.3,46,4,0,No,0
121,Premium,873,21,2.7,39,2,0,Yes,0
122,Premium,700,8,6.7,23,2,2,No,1
123,Basic,278,9,8.1,21,2,0,No,0
124,Basic,223,24,3.4,48,2,0,Yes,0
125,Basic,258,31,6.7,54,3,0,No,0
126,Basic,277,25,3.9,54,1,0,Yes,0
127,Premium,722,17,8.3,20,2,0,No,0
128,Premium,713,29,2.8,5,2,1,No,0
129,Basic,293,3,4.2,13,0,1,No,0
130,Standard,412,21,6.3,8,2,1,No,0
131,Basic,252,8,7.4,34,2,0,No,0
132,Basic,276,14,6.2,43,1,0,No,0
133,Basic,204,16,7.0,35,4,1,No,1
134,Basic,276,18,4.9,24,1,1,Yes,0
135,Premium,779,31,3.8,14,1,0,Yes,0
136,Basic,216,11,8.9,44,0,0,No,1
137,Standard,418,20,7.0,57,3,1,No,0
138,Standard,460,4,5.0,27,1,0,Yes,0
139,Basic,279,20,2.7,49,3,1,No,1
140,Premium,738,31,8.4,13,1,0,No,0
141,Premium,737,20,8.5,12,1,0,No,0
142,Basic,250,11,5.6,40,1,0,No,0
143,Standard,430,1,4.7,30,2,3,Yes,1
144,Basic,271,18,5.5,4,1,0,No,1
145,Basic,225,33,5.6,18,2,0,No,0
146,Basic,250,18,7.5,7,4,0,No,1
147,Standard,495,31,3.7,12,1,0,No,0
148,Standard,461,35,4.8,40,0,1,No,0
149,Basic,272,15,5.6,16,0,1,No,0
150,Basic,261,6,6.5,31,1,2,No,1
151,Premium,715,8,7.7,4,1,0,Yes,0
152,Basic,247,22,6.6,8,2,0,No,1
153,Basic,298,1,9.5,42,2,2,No,0
154,Standard,479,13,4.0,33,1,0,No,0
155,Premium,814,24,8.9,44,3,0,No,0
156,Basic,221,21,4.1,0,4,1,No,0
157,Standard,496,4,5.2,39,3,3,Yes,1
158,Standard,470,7,6.8,14,3,0,No,0
159,Basic,211,12,8.4,53,2,0,Yes,0
160,Standard,421,13,5.2,31,1,0,No,0
161,Basic,255,16,6.8,33,1,2,No,1
162,Standard,460,6,5.4,34,1,1,No,0
163,Standard,452,14,1.4,52,3,0,No,0
164,Standard,418,31,5.9,48,0,0,No,1
165,Basic,284,35,3.5,49,2,0,No,0
166,Premium,878,10,8.5,58,0,0,Yes,0
167,Basic,221,17,8.6,27,2,0,Yes,1
168,Basic,233,30,4.3,16,1,0,No,0
169,Basic,265,7,4.0,45,3,0,Yes,0
170,Standard,432,18,4.7,10,0,1,No,1
171,Standard,431,19,7.1,22,1,2,No,0
172,Basic,244,15,7.1,54,0,0,Yes,0
173,Standard,479,22,12.8,25,1,0,No,0
174,Basic,243,30,5.4,45,2,1,No,1
175,Standard,417,20,6.2,4,1,2,Yes,0
176,Basic,292,32,9.9,25,0,0,Yes,1
177,Standard,485,25,6.6,5,1,1,No,0
178,Basic,213,23,3.8,50,1,0,No,1
179,Premium,821,5,6.7,42,3,0,No,1
180,Basic,276,30,7.4,33,1,0,No,0
181,Basic,264,27,5.3,41,0,0,No,0
182,Basic,237,7,7.6,12,1,0,Yes,1
183,Premium,716,5,7.4,24,3,1,No,0
184,Premium,896,15,5.1,1,2,1,No,0
185,Basic,257,8,9.1,13,0,1,No,0
186,Standard,430,9,4.4,16,0,0,No,0
187,Premium,719,11,6.9,40,3,0,Yes,0
188,Standard,438,22,4.8,39,0,2,Yes,0
189,Standard,490,34,2.6,39,2,0,Yes,0
190,Basic,225,35,6.7,38,1,1,No,1
191,Basic,200,13,9.9,24,2,0,Yes,0
192,Premium,795,11,5.9,26,0,0,No,0
193,Premium,737,32,3.0,47,2,0,Yes,0
194,Standard,484,15,6.4,50,1,0,Yes,0
195,Basic,254,1,4.4,23,2,0,Yes,0
196,Basic,211,24,8.1,48,1,0,Yes,0
197,Standard,454,22,5.5,32,2,0,No,0
198,Premium,892,3,2.5,26,2,0,Yes,1
199,Premium,754,14,7.0,44,1,0,No,1
200,Standard,426,2,6.4,30,0,0,No,0
201,Standard,462,32,5.4,47,2,0,Yes,0
202,Basic,269,33,3.9,37,1,0,Yes,0
203,Basic,280,6,9.6,14,1,0,Yes,1
204,Premium,890,25,5.1,43,4,0,Yes,0
205,Standard,454,34,7.8,55,0,0,No,0
206,Basic,239,11,5.1,39,1,0,No,0
207,Basic,298,7,7.4,57,0,1,No,1
208,Standard,439,22,6.1,0,1,0,No,0
209,Basic,298,10,6.1,10,1,2,No,1
210,Basic,202,21,4.3,14,3,0,Yes,0
211,Standard,455,6,7.1,32,1,0,No,0
212,Standard,428,1,8.8,56,0,0,No,1
213,Standard,486,34,3.9,47,0,0,No,0
214,Basic,282,14,4.3,31,1,0,Yes,0
215,Standard,444,27,11.9,24,2,1,No,0
216,Basic,254,9,4.0,38,0,1,Yes,0
217,Basic,229,6,4.9,32,1,0,No,1
218,Standard,486,31,8.8,28,0,0,No,0
219,Standard,405,17,8.8,57,0,0,Yes,0
220,Premium,775,21,1.1,33,1,1,No,0
221,Standard,452,27,7.5,7,1,0,Yes,0
222,Standard,406,28,5.6,55,1,0,No,0
223,Basic,253,16,5.7,10,0,1,No,0
224,Basic,267,35,8.3,12,3,0,Yes,1
225,Basic,242,35,5.3,4,0,2,No,1
226,Basic,211,19,5.0,49,0,1,No,0
227,Premium,791,21,5.4,18,3,0,No,0
228,Basic,218,33,5.3,20,2,1,Yes,0
229,Premium,776,23,6.7,2,0,1,No,0
230,Standard,430,6,8.6,25,0,0,No,0
231,Standard,458,32,6.9,32,3,0,No,1
232,Standard,448,22,6.0,29,2,0,No,0
233,Standard,425,3,7.1,21,0,1,Yes,0
234,Standard,423,35,7.6,4,3,1,No,0
235,Basic,250,16,7.2,18,1,0,No,1
236,Standard,466,25,4.7,8,1,1,Yes,0
237,Basic,219,17,6.8,57,1,0,No,0
238,Basic,216,13,1.8,23,0,1,No,0
239,Standard,437,28,9.1,38,0,2,No,0
240,Basic,213,11,9.1,11,1,0,Yes,0
241,Premium,751,10,7.8,45,1,0,Yes,0
242,Premium,736,24,8.5,47,0,0,No,0
243,Premium,874,24,5.9,44,3,0,No,0
244,Basic,250,33,4.5,26,2,0,Yes,0
245,Basic,286,17,3.5,49,1,0,No,1
246,Premium,770,35,8.0,41,2,0,Yes,0
247,Basic,226,6,4.5,52,1,2,No,1
248,Premium,842,16,5.3,20,1,1,No,0
249,Premium,816,28,6.4,37,1,0,No,0
250,Premium,842,32,5.9,53,2,0,Yes,0
251,Basic,233,26,6.5,34,2,0,No,0
252,Basic,215,11,2.4,31,1,0,No,0
253,Premium,797,25,5.5,58,3,1,No,0
254,Basic,250,31,7.6,35,3,1,Yes,1
255,Basic,291,21,5.1,32,2,1,No,0
